datetime,Np,Vp,Tpr
2021-01-01 00:00:00,4.3052,364.68,18218.0
2021-01-01 00:05:00,4.2685,371.77,20318.0
2021-01-01 00:10:00,4.4352,366.91,17856.0
2021-01-01 00:15:00,4.5446,366.74,17383.0
2021-01-01 00:20:00,4.534,367.38,18226.0
2021-01-01 00:25:00,4.2543,367.2,18464.0
2021-01-01 00:30:00,4.6543,368.56,20883.0
2021-01-01 00:35:00,4.2685,364.54,17812.0
2021-01-01 00:40:00,4.2672,360.97,18939.0
2021-01-01 00:45:00,4.4914,366.85,19894.0
2021-01-01 00:50:00,4.4363,364.84,18904.0
2021-01-01 00:55:00,3.2866,365.12,21125.0
2021-01-01 01:00:00,2.7237,366.43,23990.0
2021-01-01 01:05:00,2.8532,365.91,22553.0
2021-01-01 01:10:00,3.4465,364.93,26812.0
2021-01-01 01:15:00,3.7221,365.45,24213.0
2021-01-01 01:20:00,3.8258,363.79,27887.0
2021-01-01 01:25:00,4.0578,360.88,25522.0
2021-01-01 01:30:00,3.8702,360.78,21730.0
2021-01-01 01:35:00,3.9312,358.0,25161.0
2021-01-01 01:40:00,3.9943,358.62,24456.0
2021-01-01 01:45:00,4.0172,359.73,22471.0
2021-01-01 01:50:00,4.1502,359.08,23673.0
2021-01-01 01:55:00,3.2894,361.9,24385.0
2021-01-01 02:00:00,3.6434,363.27,21915.0
2021-01-01 02:05:00,3.4735,361.51,20954.0
2021-01-01 02:10:00,4.0574,358.55,22133.0
2021-01-01 02:15:00,4.132,359.59,22830.0
2021-01-01 02:20:00,4.1387,360.29,22270.0
2021-01-01 02:25:00,4.3536,361.94,20782.0
2021-01-01 02:30:00,4.3657,360.44,18809.0
2021-01-01 02:35:00,4.3253,358.58,19482.0
2021-01-01 02:40:00,4.3307,359.28,19796.0
2021-01-01 02:45:00,4.4475,361.2,21341.0
2021-01-01 02:50:00,4.5606,359.09,18542.0
2021-01-01 02:55:00,4.3858,359.49,20140.0
2021-01-01 03:00:00,4.0936,361.42,20490.0
2021-01-01 03:05:00,4.2016,357.55,24463.0
2021-01-01 03:10:00,3.7555,362.34,22026.0
2021-01-01 03:15:00,3.835,361.8,20113.0
2021-01-01 03:20:00,4.0967,361.11,19995.0
2021-01-01 03:25:00,4.1817,360.57,25000.0
2021-01-01 03:30:00,3.9904,358.31,24102.0
2021-01-01 03:35:00,3.9443,357.67,27566.0
2021-01-01 03:40:00,3.91,360.3,24118.0
2021-01-01 03:45:00,4.1738,359.23,22788.0
2021-01-01 03:50:00,3.9303,358.67,22069.0
2021-01-01 03:55:00,2.917,362.31,18857.0
2021-01-01 04:00:00,3.1267,362.93,20070.0
2021-01-01 04:05:00,4.2988,355.92,24633.0
2021-01-01 04:10:00,4.266,356.84,23462.0
2021-01-01 04:15:00,4.1846,357.35,26324.0
2021-01-01 04:20:00,4.1618,359.3,25787.0
2021-01-01 04:25:00,4.1733,359.43,27383.0
2021-01-01 04:30:00,3.1696,362.15,27849.0
2021-01-01 04:35:00,3.3157,363.39,20159.0
