DATETIME,DATETIME_UT,H_VALUE,SPLINE,BASELINE,LDi,LCi
2024-05-16 00:00:00,2024-05-16 10:32:00,26955.09,0.0,27062.75316506332,-107.66316506332078,0.38517473211194897
2024-05-16 00:01:00,2024-05-16 10:33:00,26955.26,-0.0001141239134695756,27062.752991286525,-107.49287716261291,-0.04459893069622467
2024-05-16 00:02:00,2024-05-16 10:34:00,26955.0,-0.00045458563022808166,27062.752817510343,-107.75236292471322,-0.7743740260268694
2024-05-16 00:03:00,2024-05-16 10:35:00,26953.71,-0.0010185201147908482,27062.75264373478,-109.04162521466665,-1.2691519863960679
2024-05-16 00:04:00,2024-05-16 10:36:00,26952.46,-0.0018030623316732063,27062.752469959836,-110.29066689750536,-1.2939328118032307
2024-05-16 00:05:00,2024-05-16 10:37:00,26951.12,-0.002805347245390486,27062.752296185517,-111.62949083827311,-0.7637165022437529
2024-05-16 00:06:00,2024-05-16 10:38:00,26950.93,-0.004022509820458017,27062.752122411814,-111.81809990199287,0.04149694228714651
2024-05-16 00:07:00,2024-05-16 10:39:00,26951.2,-0.005451685021391131,27062.75194863872,-111.54649695369882,0.17670752177339466
2024-05-16 00:08:00,2024-05-16 10:40:00,26951.28,-0.0070900078127051555,27062.751774866258,-111.46468485844608,0.036915236228161064
2024-05-16 00:09:00,2024-05-16 10:41:00,26951.27,-0.008934613158915423,27062.751601094402,-111.4726664812425,0.10212008564736408
2024-05-16 00:10:00,2024-05-16 10:42:00,26951.48,-0.010982636024537267,27062.751427323175,-111.26044468715135,0.3673220700245423
2024-05-16 00:11:00,2024-05-16 10:43:00,26952.0,-0.01323121137408601,27062.751253552568,-110.73802234119341,0.5775211893768528
2024-05-16 00:12:00,2024-05-16 10:44:00,26952.63,-0.015677474172076985,27062.75107978257,-110.10540230839764,0.852717443688725
2024-05-16 00:13:00,2024-05-16 10:45:00,26953.7,-0.01831855938302553,27062.7509060132,-109.03258745381596,1.0679108329619993
2024-05-16 00:14:00,2024-05-16 10:46:00,26954.76,-0.021151601971446967,27062.750732244443,-107.96958064247364,1.143101357204003
2024-05-16 00:15:00,2024-05-16 10:47:00,26955.98,-0.02417373690185663,27062.75055847631,-106.74638473940796,1.1732890164104433
2024-05-16 00:16:00,2024-05-16 10:48:00,26957.1,-0.027382099138769843,27062.75038470879,-105.62300260965276,1.0034738105806724
2024-05-16 00:17:00,2024-05-16 10:49:00,26957.98,-0.030773823646701948,27062.750210941893,-104.73943711824661,0.5336557397143267
2024-05-16 00:18:00,2024-05-16 10:50:00,26958.16,-0.03434604539016826,27062.750037175614,-104.5556911302241,0.3538348038133776
2024-05-16 00:19:00,2024-05-16 10:51:00,26958.68,-0.038095899333684125,27062.749863409954,-104.03176751061986,0.4340110028753372
2024-05-16 00:20:00,2024-05-16 10:52:00,26959.02,-0.042020520441764866,27062.749689644916,-103.68766912447343,0.12418433690238828
2024-05-16 00:21:00,2024-05-16 10:53:00,26958.92,-0.04611704367892581,27062.749515880492,-103.78339883681508,-0.1756451941039998
2024-05-16 00:22:00,2024-05-16 10:54:00,26958.66,-0.0503826040096823,27062.74934211669,-104.03895951268143,-0.39047759014492556
2024-05-16 00:23:00,2024-05-16 10:55:00,26958.13,-0.05481433639854964,27062.749168353505,-104.56435401710493,-0.5603128512267261
2024-05-16 00:24:00,2024-05-16 10:56:00,26957.53,-0.05940937581004319,27062.748994590944,-105.15958521513488,-0.08015097734437404
