DATETIME,DATETIME_UT,H_VALUE,SPLINE,BASELINE,LDi,LCi
2024-05-17 00:00:00,2024-05-17 10:32:00,,0.0,27062.50358158752,,
2024-05-17 00:01:00,2024-05-17 10:33:00,,-0.0001141239134695756,27062.503408731136,,
2024-05-17 00:02:00,2024-05-17 10:34:00,,-0.00045458563022808166,27062.503235875414,,
2024-05-17 00:03:00,2024-05-17 10:35:00,,-0.0010185201147908482,27062.503063020355,,
2024-05-17 00:04:00,2024-05-17 10:36:00,,-0.0018030623316732063,27062.50289016595,,
2024-05-17 00:05:00,2024-05-17 10:37:00,,-0.002805347245390486,27062.50271731221,,
2024-05-17 00:06:00,2024-05-17 10:38:00,,-0.004022509820458017,27062.502544459123,,
2024-05-17 00:07:00,2024-05-17 10:39:00,,-0.005451685021391131,27062.502371606704,,
2024-05-17 00:08:00,2024-05-17 10:40:00,,-0.0070900078127051555,27062.50219875494,,
2024-05-17 00:09:00,2024-05-17 10:41:00,,-0.008934613158915423,27062.502025903836,,
2024-05-17 00:10:00,2024-05-17 10:42:00,,-0.010982636024537267,27062.501853053396,,
2024-05-17 00:11:00,2024-05-17 10:43:00,,-0.01323121137408601,27062.501680203608,,
2024-05-17 00:12:00,2024-05-17 10:44:00,,-0.015677474172076985,27062.50150735449,,
2024-05-17 00:13:00,2024-05-17 10:45:00,,-0.01831855938302553,27062.501334506025,,
2024-05-17 00:14:00,2024-05-17 10:46:00,,-0.021151601971446967,27062.501161658223,,
2024-05-17 00:15:00,2024-05-17 10:47:00,,-0.02417373690185663,27062.500988811084,,
2024-05-17 00:16:00,2024-05-17 10:48:00,,-0.027382099138769843,27062.5008159646,,
2024-05-17 00:17:00,2024-05-17 10:49:00,,-0.030773823646701948,27062.50064311878,,
2024-05-17 00:18:00,2024-05-17 10:50:00,,-0.03434604539016826,27062.500470273615,,
2024-05-17 00:19:00,2024-05-17 10:51:00,,-0.038095899333684125,27062.500297429116,,
2024-05-17 00:20:00,2024-05-17 10:52:00,,-0.042020520441764866,27062.500124585273,,
2024-05-17 00:21:00,2024-05-17 10:53:00,,-0.04611704367892581,27062.499951742095,,
2024-05-17 00:22:00,2024-05-17 10:54:00,,-0.0503826040096823,27062.499778899575,,
2024-05-17 00:23:00,2024-05-17 10:55:00,,-0.05481433639854964,27062.499606057714,,
2024-05-17 00:24:00,2024-05-17 10:56:00,,-0.05940937581004319,27062.49943321652,,
2024-05-17 00:25:00,2024-05-17 10:57:00,,-0.06416485720867826,27062.499260375975,,
2024-05-17 00:26:00,2024-05-17 10:58:00,,-0.06907791555897021,27062.4990875361,,
2024-05-17 00:27:00,2024-05-17 10:59:00,,-0.07414568582543432,27062.498914696884,,
2024-05-17 00:28:00,2024-05-17 11:00:00,,-0.07936530297258595,27062.498741858326,,
2024-05-17 00:29:00,2024-05-17 11:01:00,,-0.08473390196494046,27062.498569020427,,
2024-05-17 00:30:00,2024-05-17 11:02:00,,-0.09024861776701312,27062.49839618319,,
2024-05-17 00:31:00,2024-05-17 11:03:00,,-0.0959065853433193,27062.498223346618,,
2024-05-17 00:32:00,2024-05-17 11:04:00,,-0.10170493965837432,27062.4980505107,,
2024-05-17 00:33:00,2024-05-17 11:05:00,,-0.10764081567669352,27062.497877675447,,
2024-05-17 00:34:00,2024-05-17 11:06:00,,-0.1137113483627922,27062.49770484086,,
2024-05-17 00:35:00,2024-05-17 11:07:00,,-0.11991367268118575,27062.49753200692,,
2024-05-17 00:36:00,2024-05-17 11:08:00,,-0.12624492359638942,27062.49735917365,,
2024-05-17 00:37:00,2024-05-17 11:09:00,,-0.1327022360729186,27062.49718634104,,
2024-05-17 00:38:00,2024-05-17 11:10:00,,-0.13928274507528857,27062.497013509088,,
2024-05-17 00:39:00,2024-05-17 11:11:00,,-0.14598358556801472,27062.4968406778,,
2024-05-17 00:40:00,2024-05-17 11:12:00,,-0.15280189251561238,27062.496667847172,,
2024-05-17 00:41:00,2024-05-17 11:13:00,,-0.1597348008825968,27062.496495017203,,
2024-05-17 00:42:00,2024-05-17 11:14:00,,-0.1667794456334834,27062.496322187897,,
2024-05-17 00:43:00,2024-05-17 11:15:00,,-0.17393296173278744,27062.496149359253,,
2024-05-17 00:44:00,2024-05-17 11:16:00,,-0.1811924841450243,27062.495976531267,,
2024-05-17 00:45:00,2024-05-17 11:17:00,,-0.18855514783470934,27062.495803703943,,
2024-05-17 00:46:00,2024-05-17 11:18:00,,-0.19601808776635776,27062.49563087728,,
2024-05-17 00:47:00,2024-05-17 11:19:00,,-0.20357843890448504,27062.49545805128,,
2024-05-17 00:48:00,2024-05-17 11:20:00,,-0.2112333362136064,27062.495285225945,,
