Unnamed: 0,IAGA_CODE,NAME,COUNTRY,LATITUDE_G,LONGITUDE_G,STATUS,GIN,LATITUDE_M,LONGITUDE_M
0,AAA,Alma Ata,Kazakhstan,43.25,76.92,closed,Edi,39.679467026301,150.0657415334513
1,AAE,Addis Ababa,Ethiopia,9.035,38.77,closed,Par,,
2,ABG,Alibag,India,18.638,72.872,imo,Kyo,13.181692021603709,146.09794433275016
3,ABK,Abisko,Sweden,68.358,18.823,imo,Edi,65.68716274993099,98.98618369245214
4,AIA,Faraday Islands (Argentine Island) - Akademik Vernadsky base,Antarctica,-65.245,-64.25799999999998,imo,Edi,-51.281066692719406,9.09754500854085
5,ALE,Alert,Canada,82.497,-62.35300000000001,closed,Ott,86.82353377713274,63.389199006587276
6,AMS,Martin de Vivies - Amsterdam Island,French Southern and Antarctic Lands,-37.8,77.57,closed,Par,-48.57490787273386,140.83499744373188
7,API,Apia,Western Samoa,-13.8155,-171.7812,imo,Edi,-15.687302468765068,-96.38045448300592
8,AQU,L'Aquila,Italy,42.38,13.32,closed,Par,36.022077278593166,86.57188226937963
9,ARS,Arti,Russia,56.433,58.567,imo,Edi,53.32856427233043,131.6917414056105
10,ASC,Ascension Island,United Kingdom,-7.95,-14.379999999999995,imo,Edi,-12.246169318252342,57.246536850266835
11,ASP,Alice Springs,Australia,-23.762,133.883,imo,Edi,-33.53305880251028,-152.27556356350388
12,BDV,Budkov,Czech Republic,49.08,14.02,imo,Edi,44.30939195642541,88.26199598784497
13,BEL,Belsk,Poland,51.836,20.789,imo,Edi,47.722171803380775,94.86084333986918
14,BFE,Brorfelde,Denmark,55.625,11.672,closed,Kyo,51.93380716470549,87.74469489099303
15,BFO,Black Forest,Germany,48.331,8.325,imo,Edi,43.23230308683278,83.13378738106974
16,BLC,Baker Lake,Canada,64.318,-96.012,imo,Ott,72.2263523911417,-28.144716277282186
17,BMT,Beijing Ming Tombs,China,40.3,116.2,imo,Kyo,35.391595088736025,-169.52750095427234
18,BNG,Bangui,Central African Republic,4.33,18.57,closed,Par,,
19,BOU,Boulder,United States of America,40.14,-105.233,imo,Gol,48.14354002202537,-37.55470385973683
20,BOX,Borok,Russia,58.07,38.23,imo,Par,54.78508692031659,112.20726292939747
21,BRD,Brandon,Canada,49.87,-99.9739,imo,Ott,58.25951770663566,-31.685860164444026
22,BRW,Barrow,United States of America,71.32,-156.62,imo,Gol,70.33461002128897,-103.20031924447531
23,BSL,Stennis Space Center (Bay St. Louis),United States of America,30.35,-89.63999999999999,imo,Gol,39.93877298821849,-16.91253282953087
24,CBB,Cambridge Bay,Canada,69.123,-105.031,imo,Ott,75.8959905782998,-44.36471859390431
25,CKI,Cocos (Keeling) Islands,Australia,-12.1875,96.8336,imo,Edi,-21.344662233292112,169.04756534038793
26,CLF,Chambon-la-Foret,France,48.025,2.26,imo,Par,42.758441524028584,77.90528665810805
27,CMO,College,United States of America,64.87,-147.86,imo,Gol,64.94776226845099,-91.41121020811406
28,CNB,Canberra,Australia,-35.32,149.36,imo,Edi,-45.02214568923492,-132.48156751501713
